Date,Fintech_Total_Share,Traditional_Total_Share,Disruption_Gap
2018-01-01,0.633,88.312,87.679
2018-04-01,1.38,88.30199999999999,86.922
2018-07-01,1.965,87.623,85.658
2018-10-01,1.922,87.16,85.238
2019-01-01,3.051,86.066,83.015
2019-04-01,3.042,85.986,82.944
2019-07-01,3.985,85.733,81.748
2019-10-01,4.685,85.039,80.354
2020-01-01,4.7620000000000005,84.438,79.676
2020-04-01,5.055,83.693,78.638
2020-07-01,5.614,83.625,78.011
2020-10-01,7.332,82.38300000000001,75.051
2021-01-01,7.280000000000001,82.46300000000001,75.183
2021-04-01,8.23,81.995,73.765
2021-07-01,8.428,80.883,72.455
2021-10-01,8.927000000000001,81.156,72.229
2022-01-01,10.106000000000002,80.29599999999999,70.19
2022-04-01,10.503,79.83500000000001,69.332
2022-07-01,10.397,79.23,68.833
2022-10-01,11.573,78.821,67.248
2023-01-01,11.814,78.224,66.41
2023-04-01,12.236,77.78,65.544
2023-07-01,13.059,77.227,64.168
2023-10-01,13.521,76.36500000000001,62.844
2024-01-01,14.574,76.327,61.753
2024-04-01,14.317,76.372,62.055
2024-07-01,15.22,75.395,60.175
2024-10-01,15.71,74.932,59.222
2025-01-01,16.5,74.6,58.1
2025-04-01,17.3,74.2,56.9
2025-07-01,18.2,73.9,55.7
2025-10-01,19.1,73.5,54.4
